ref,Timestamp,Ref,Class,Order,Family,Subfamily,Tribe,Genera,Species,LifeStage,Method,Number_caught
NCVZR7708,28/1/25 07:41,SD15L01L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7709,28/1/25 07:41,SD15L01L02,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,1
NCVZR7710,28/1/25 07:05,SH15L05L03,Insecta,Diptera,Mydidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7711,28/1/25 07:05,SH15L05L03,Insecta,Hemiptera,Aphrophoridae,Unidentified,Unidentified,Unidentified,sp. 1,Adult,three-stratified subterranean,1
NCVZR7712,28/1/25 10:21,SK18L01L01,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7713,28/1/25 10:21,SK18L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7714,28/1/25 09:19,SQ17L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7715,30/1/25 08:31,SO18L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7716,30/1/25 08:44,SO18L01L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,double-stratified subterranean,2
NCVZR7717,30/1/25 11:06,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,2
NCVZR7718,30/1/25 10:35,SJ13L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7720,27/12/24 10:30,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,8
NCVZR7806,27/12/24 09:00,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7807,27/12/24 09:00,SJ15L05L02,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7808,27/12/24 09:30,SJ13L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp. 1,Adult,three-stratified subterranean,11
NCVZR7809,27/12/24 09:30,SJ13L05L03,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7810,27/12/24 10:00,SO18L05L03,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,2
NCVZR7811,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,4
NCVZR7812,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7813,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7814,27/12/24 09:45,SJ13L01L02,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,double-stratified subterranean,1
NCVZR7815,21/12/24 12:00,SH15L05L02,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,three-stratified subterranean,1
NCVZR7816,21/12/24 11:30,SD15L01L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,double-stratified subterranean,2
NCVZR7817,21/12/24 11:35,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,4
NCVZR7818,21/12/24 10:00,SK18L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7819,21/12/24 12:05,SH15L05L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,1
NCVZR7820,21/12/24 09:35,SP15L05L03,Reptilia,Squamata,Scincidae,Unidentified,Unidentified,Acontias,kgalagadi,Adult,three-stratified subterranean,1
NCVZR7821,21/12/24 10:00,SK18L05L02,Insecta,Diptera,Asilidae,Asilinae,Unidentified,Alcimus,sp.1,Larva,three-stratified subterranean,1
NCVZR7822,21/12/24 11:30,SD15L01L01,Arachnida,Araneae,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Egg sac,double-stratified subterranean,1
NCVZR7824,2/11/24 12:30,SP15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,2
NCVZR7825,8/11/24 11:00,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Adelostomini,Stips,sp. 1,Adult,three-stratified subterranean,1
NCVZR7826,8/11/24 10:13,SK18L01L02,Arachnida,Solifugae,Hexisopodidae,Unidentified,Unidentified,Chelypus,sp. 1,Adult,double-stratified subterranean,1
NCVZR7827,8/11/24 10:22,SK18L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7828,8/11/24 11:00,SD15L05L01,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7829,8/11/24 09:25,SP15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,three-stratified subterranean,2
NCVZR7830,25/10/24 11:15,SL17L01L01,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,52
NCVZR7831,25/10/24 11:20,SL17L01L02,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,25
NCVZR7833,12/9/24 09:00,SO18L01L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Sabulophosis),kalahariensis,Adult,double-stratified subterranean,1
NCVZR7834,12/9/24 10:45,SJ15L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,16
NCVZR7835,12/9/24 10:40,SJ15L05L02,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,13
NCVZR7836,12/9/24 10:00,SL17L01L02,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Tetramorium,solidum,Adult,double-stratified subterranean,1
NCVZR7837,12/9/24 10:30,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7838,12/9/24 10:15,SL15L05L03,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7839,12/9/24 09:55,SL17L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,2
NCVZR7840,6/9/24 10:25,SK18L01L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,double-stratified subterranean,1
NCVZR7841,12/9/24 10:45,SJ15L05L03,Crustacea,Isopoda,Armadillidae,Unidentified,Unidentified,Unidentified,sp.1,Adult,three-stratified subterranean,1
NCVZR7842,12/9/24 10:45,SJ15L05L03,Insecta,Diptera,Bombyliidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,2
NCVZR7843,6/9/24 09:00,SQ17L01L02,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,188
NCVZR7844,6/9/24 09:15,SQ17L05L02,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,3
NCVZR7845,6/9/24 08:45,SP15L05L02,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7846,6/9/24 09:20,SQ17L05L01,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,2
NCVZR7847,12/9/24 09:05,SO18L01L02,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,double-stratified subterranean,2
NCVZR7848,12/9/24 10:40,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,2
NCVZR7927,1/7/24 10:41,SJ13L05L01,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7928,31/5/24 08:14,SJ13L05L01,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7929,31/5/24 08:54,SH15L05L01,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7930,31/5/24 08:18,SJ13L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,47
NCVZR7931,31/5/24 08:17,SJ13L05L02,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,214
NCVZR7932,31/5/24 08:56,SH15L05L03,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,118
NCVZR7933,31/5/24 08:56,SH15L05L02,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,69
NCVZR7934,31/5/24 08:54,SH15L05L01,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,13
NCVZR7935,31/5/24 09:29,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7936,31/5/24 08:56,SJ15L05L02,Insecta,Hemiptera,Reduviidae,Unidentified,Unidentified,Unidentified,Unidentified,Nymph,three-stratified subterranean,1
NCVZR7937,31/5/24 09:31,SJ15L05L03,Arachnida,Araneae,Ammoxenidae,Unidentified,Unidentified,Ammoxenus,coccineus,Adult,three-stratified subterranean,3
NCVZR7938,31/5/24 09:31,SJ15L05L01,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,three-stratified subterranean,1
NCVZR7939,31/5/24 09:31,SJ15L05L03,Insecta,Hemiptera,Berytidae,Gampsocorinae,Unidentified,Micrometacanthus,trichoferus,Adult,three-stratified subterranean,1
NCVZR7940,31/5/24 09:29,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,three-stratified subterranean,1
NCVZR7941,28/3/24 09:50,SJ15L05L01,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,three-stratified subterranean,150
NCVZR7942,28/3/24 09:55,SJ15L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7943,28/3/24 10:25,SH15L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,2
NCVZR7974,26/3/25 11:30,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,14
NCVZR7975,26/3/25 11:30,SD15L05L01,Insecta,Diptera,Mydidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7976,26/3/25 11:30,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7977,26/3/25 08:15,SP15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,3
NCVZR7978,26/3/25 08:15,SP15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,3
NCVZR7979,26/3/25 08:15,SP15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7980,26/3/25 08:15,SP15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,three-stratified subterranean,1
NCVZR7981,26/3/25 12:00,SH15L01L01,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7982,26/3/25 11:39,SD15L01L01,Arachnida,Solifugae,Hexisopodidae,Unidentified,Unidentified,Chelypus,sp. 1,Adult,double-stratified subterranean,1
NCVZR7983,26/3/25 08:16,SP15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7984,26/3/25 08:16,SP15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,three-stratified subterranean,1
NCVZR7985,26/3/25 11:55,SH15L05L02,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,1
NCVZR7986,26/3/25 09:03,SQ17L05L02,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,1
NCVZR7987,26/3/25 10:34,SJ15L01L02,Insecta,Diptera,Asilidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7988,26/3/25 08:17,SP15L05L03,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7989,31/3/25 08:03,SL17L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,2
NCVZR7990,31/3/25 09:27,SL15L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,2
NCVZR7991,26/3/25 11:31,SD15L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR7992,26/3/25 09:13,SQ17L01L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,3
NCVZR7993,31/3/25 09:56,SJ13L05L01,Insecta,Hemiptera,Berytidae,Gampsocorinae,Unidentified,Micrometacanthus,trichoferus,Adult,three-stratified subterranean,1
NCVZR7994,31/3/25 10:03,SJ13L01L02,Crustacea,Isopoda,Armadillidae,Unidentified,Unidentified,Unidentified,sp.1,Adult,double-stratified subterranean,1
NCVZR7995,26/3/25 11:39,SD15L01L02,Insecta,Diptera,Bombyliidae,Unidentified,Unidentified,Unidentified,sp.1,Larva,double-stratified subterranean,1
NCVZR7996,26/3/25 11:55,SH15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,2
NCVZR7997,26/3/25 11:55,SH15L05L03,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7998,26/3/25 09:03,SQ17L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,2
NCVZR7999,26/3/25 09:03,SQ17L05L03,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR8000,31/3/25 09:26,SL15L01L01,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8001,31/3/25 09:26,SL15L01L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,1
NCVZR8002,26/3/25 08:32,SP15L01L01,Insecta,Neuroptera,Myrmeleontidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR8003,27/2/25 07:43,SL15L05L03,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Larva,three-stratified subterranean,1
NCVZR8004,27/2/25 08:35,SO18L05L03,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,4
NCVZR8005,27/2/25 08:36,SO18L05L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,three-stratified subterranean,1
NCVZR8006,27/2/25 08:35,SO18L05L03,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Larva,three-stratified subterranean,1
NCVZR8007,27/2/25 10:22,SJ15L01L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,double-stratified subterranean,1
NCVZR8008,27/2/25 07:52,SL15L01L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,1
NCVZR8009,27/2/25 10:53,SJ13L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Larva,three-stratified subterranean,1
NCVZR8010,27/2/25 07:52,SL15L01L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,1
